Edad,Sexo,Valor,Data,Tipo
76 años,Hombres,12010,Absolutos,entre2001y5000
77 años,Hombres,11925,Absolutos,entre2001y5000
78 años,Hombres,9993,Absolutos,entre2001y5000
79 años,Hombres,8754,Absolutos,entre2001y5000
80 años,Hombres,10447,Absolutos,entre2001y5000
81 años,Hombres,6252,Absolutos,entre2001y5000
82 años,Hombres,7072,Absolutos,entre2001y5000
83 años,Hombres,7821,Absolutos,entre2001y5000
84 años,Hombres,8052,Absolutos,entre2001y5000
85 años,Hombres,7374,Absolutos,entre2001y5000
86 años,Hombres,6531,Absolutos,entre2001y5000
87 años,Hombres,6068,Absolutos,entre2001y5000
88 años,Hombres,5301,Absolutos,entre2001y5000
89 años,Hombres,4415,Absolutos,entre2001y5000
90 años,Hombres,3616,Absolutos,entre2001y5000
91 años,Hombres,2897,Absolutos,entre2001y5000
92 años,Hombres,2233,Absolutos,entre2001y5000
93 años,Hombres,1656,Absolutos,entre2001y5000
94 años,Hombres,1168,Absolutos,entre2001y5000
95 años,Hombres,867,Absolutos,entre2001y5000
96 años,Hombres,602,Absolutos,entre2001y5000
97 años,Hombres,401,Absolutos,entre2001y5000
98 años,Hombres,241,Absolutos,entre2001y5000
99 años,Hombres,153,Absolutos,entre2001y5000
100 y más años,Hombres,322,Absolutos,entre2001y5000
0 años,Hombres,22388,Absolutos,entre50001y100000
1 año,Hombres,25678,Absolutos,entre50001y100000
2 años,Hombres,27016,Absolutos,entre50001y100000
3 años,Hombres,29463,Absolutos,entre50001y100000
4 años,Hombres,31097,Absolutos,entre50001y100000
5 años,Hombres,31506,Absolutos,entre50001y100000
6 años,Hombres,32561,Absolutos,entre50001y100000
7 años,Hombres,32065,Absolutos,entre50001y100000
8 años,Hombres,34224,Absolutos,entre50001y100000
9 años,Hombres,35277,Absolutos,entre50001y100000
10 años,Hombres,36119,Absolutos,entre50001y100000
11 años,Hombres,36846,Absolutos,entre50001y100000
12 años,Hombres,38395,Absolutos,entre50001y100000
13 años,Hombres,36828,Absolutos,entre50001y100000
14 años,Hombres,36802,Absolutos,entre50001y100000
15 años,Hombres,35870,Absolutos,entre50001y100000
16 años,Hombres,35721,Absolutos,entre50001y100000
17 años,Hombres,35119,Absolutos,entre50001y100000
18 años,Hombres,33966,Absolutos,entre50001y100000
19 años,Hombres,33764,Absolutos,entre50001y100000
20 años,Hombres,34214,Absolutos,entre50001y100000
21 años,Hombres,33109,Absolutos,entre50001y100000
22 años,Hombres,32281,Absolutos,entre50001y100000
23 años,Hombres,32985,Absolutos,entre50001y100000
24 años,Hombres,32177,Absolutos,entre50001y100000
25 años,Hombres,32023,Absolutos,entre50001y100000
26 años,Hombres,32643,Absolutos,entre50001y100000
27 años,Hombres,33812,Absolutos,entre50001y100000
28 años,Hombres,34163,Absolutos,entre50001y100000
29 años,Hombres,34426,Absolutos,entre50001y100000
30 años,Hombres,34736,Absolutos,entre50001y100000
31 años,Hombres,35251,Absolutos,entre50001y100000
32 años,Hombres,35800,Absolutos,entre50001y100000
33 años,Hombres,36199,Absolutos,entre50001y100000
34 años,Hombres,37334,Absolutos,entre50001y100000
35 años,Hombres,38896,Absolutos,entre50001y100000
36 años,Hombres,40660,Absolutos,entre50001y100000
37 años,Hombres,42182,Absolutos,entre50001y100000
38 años,Hombres,45041,Absolutos,entre50001y100000
39 años,Hombres,47244,Absolutos,entre50001y100000
40 años,Hombres,49623,Absolutos,entre50001y100000
41 años,Hombres,50989,Absolutos,entre50001y100000
42 años,Hombres,53695,Absolutos,entre50001y100000
43 años,Hombres,54396,Absolutos,entre50001y100000
44 años,Hombres,55056,Absolutos,entre50001y100000
